ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,Title 5,Assigned To,State,Tags
"4228","User Story",,,"Implement route geometry cache in Strapi",,,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4229","Task",,,,"Optimize route geometry cache implementation",,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4348","Feature",,"Per-User Service Management",,,,,"New",
"4350","User Story",,,"Enable per-user autostart configuration",,,,"New",
"4351","Task",,,,"Implement backend logic for systemd user units (Linux)",,,"New",
"4352","Task",,,,"Implement backend logic for Task Scheduler (Windows)",,,"New",
"4353","Task",,,,"Document API and usage",,,"New",
"4354","Task",,,,"Write tests for permission enforcement and error handling",,,"New",
"4458","Feature",,"Real-Time Service Status Updates",,,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved","status; ui; websocket"
"4459","User Story",,,"Refactor Electron UI to use backend event subscription",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved","ui; websocket"
"4460","Task",,,,"Implement WebSocket/Socket.IO event subscription",,"Guerilla Codester <guerillacodester@gmail.com>","Removed","ui; websocket"
"4461","User Story",,,"Remove polling logic from UI",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved","refactor; ui"
"4462","Task",,,,"Eliminate periodic polling and use event-driven updates",,"Guerilla Codester <guerillacodester@gmail.com>","New","refactor; ui"
"4463","User Story",,,"Modularize event handling for maintainability",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved","modularity; ui"
"4464","Task",,,,"Refactor event handling into reusable modules",,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4465","Feature",,"Robust Error Handling & Feedback",,,,"Guerilla Codester <guerillacodester@gmail.com>","New","error-handling; ui"
"4466","User Story",,,"Display backend/service errors in UI",,,"Guerilla Codester <guerillacodester@gmail.com>","New","error; ui"
"4467","Task",,,,"Implement error notifications and status indicators",,"Guerilla Codester <guerillacodester@gmail.com>","New","error; ui"
"4468","User Story",,,"Handle connection loss and backend downtime gracefully",,,"Guerilla Codester <guerillacodester@gmail.com>","New","error; ui"
"4469","Task",,,,"Add connection loss detection and recovery options",,"Guerilla Codester <guerillacodester@gmail.com>","New","error; ui"
"4470","User Story",,,"Add user-facing logs and troubleshooting info",,,"Guerilla Codester <guerillacodester@gmail.com>","New","logs; ui"
"4471","Task",,,,"Implement accessible logs and diagnostics UI",,"Guerilla Codester <guerillacodester@gmail.com>","New","logs; ui"
"4472","Feature",,"Modular & Extensible UI Architecture",,,,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4473","User Story",,,"Refactor service card components for extensibility",,,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4474","Task",,,,"Redesign cards for dynamic rendering and extension",,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4475","User Story",,,"Decouple UI logic from backend details",,,"Guerilla Codester <guerillacodester@gmail.com>","New","architecture; ui"
"4476","Task",,,,"Ensure UI relies only on standardized backend events",,"Guerilla Codester <guerillacodester@gmail.com>","New","architecture; ui"
"4477","User Story",,,"Expand unit/integration tests for event-driven updates",,,"Guerilla Codester <guerillacodester@gmail.com>","New","testing; ui"
"4478","Task",,,,"Add tests for event handling and error scenarios",,"Guerilla Codester <guerillacodester@gmail.com>","New","testing; ui"
"4479","User Story",,,"Document UI event/data flow",,,"Guerilla Codester <guerillacodester@gmail.com>","New","documentation; ui"
"4480","Task",,,,"Create architecture and integration documentation",,"Guerilla Codester <guerillacodester@gmail.com>","New","documentation; ui"
"4482","Feature",,"Real-Time Service Status Updates",,,,"Guerilla Codester <guerillacodester@gmail.com>","New","status; ui; websocket"
"4483","User Story",,,"Refactor Electron UI to use backend event subscription",,,"Guerilla Codester <guerillacodester@gmail.com>","New","ui; websocket"
"4484","Task",,,,"Implement WebSocket/Socket.IO event subscription",,"Guerilla Codester <guerillacodester@gmail.com>","New","ui; websocket"
"4485","User Story",,,"Remove polling logic from UI",,,"Guerilla Codester <guerillacodester@gmail.com>","New","refactor; ui"
"4486","Task",,,,"Eliminate periodic polling and use event-driven updates",,"Guerilla Codester <guerillacodester@gmail.com>","New","refactor; ui"
"4487","User Story",,,"Modularize event handling for maintainability",,,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4488","Task",,,,"Refactor event handling into reusable modules",,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4489","Feature",,"Robust Error Handling & Feedback",,,,"Guerilla Codester <guerillacodester@gmail.com>","New","error-handling; ui"
"4490","User Story",,,"Display backend/service errors in UI",,,"Guerilla Codester <guerillacodester@gmail.com>","New","error; ui"
"4491","Task",,,,"Implement error notifications and status indicators",,"Guerilla Codester <guerillacodester@gmail.com>","New","error; ui"
"4492","User Story",,,"Handle connection loss and backend downtime gracefully",,,"Guerilla Codester <guerillacodester@gmail.com>","New","error; ui"
"4493","Task",,,,"Add connection loss detection and recovery options",,"Guerilla Codester <guerillacodester@gmail.com>","New","error; ui"
"4494","User Story",,,"Add user-facing logs and troubleshooting info",,,"Guerilla Codester <guerillacodester@gmail.com>","New","logs; ui"
"4495","Task",,,,"Implement accessible logs and diagnostics UI",,"Guerilla Codester <guerillacodester@gmail.com>","New","logs; ui"
"4496","Feature",,"Modular & Extensible UI Architecture",,,,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4497","User Story",,,"Refactor service card components for extensibility",,,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4498","Task",,,,"Redesign cards for dynamic rendering and extension",,"Guerilla Codester <guerillacodester@gmail.com>","New","modularity; ui"
"4499","User Story",,,"Decouple UI logic from backend details",,,"Guerilla Codester <guerillacodester@gmail.com>","New","architecture; ui"
"4500","Task",,,,"Ensure UI relies only on standardized backend events",,"Guerilla Codester <guerillacodester@gmail.com>","New","architecture; ui"
"4501","User Story",,,"Expand unit/integration tests for event-driven updates",,,"Guerilla Codester <guerillacodester@gmail.com>","New","testing; ui"
"4502","Task",,,,"Add tests for event handling and error scenarios",,"Guerilla Codester <guerillacodester@gmail.com>","New","testing; ui"
"4503","User Story",,,"Document UI event/data flow",,,"Guerilla Codester <guerillacodester@gmail.com>","New","documentation; ui"
"4504","Task",,,,"Create architecture and integration documentation",,"Guerilla Codester <guerillacodester@gmail.com>","New","documentation; ui"
"4230","Epic","Vehicle Simulator Services - Core Backend",,,,,,"New",
"4231","Feature",,"Vehicle Simulator Service",,,,,"New",
"4232","User Story",,,"Register vehicle_simulator as managed service",,,,"New",
"4233","Task",,,,"Configure health endpoint for vehicle_simulator",,,"New",
"4234","Feature",,"Commuter Service",,,,,"New",
"4235","User Story",,,"Implement commuter seed data and API",,,,"New",
"4236","Feature",,"Geospatial Service",,,,,"New",
"4237","User Story",,,"Create geofence PostGIS views",,,,"New",
"4238","Feature",,"GPSCentCom Server",,,,,"New",
"4239","User Story",,,"Implement packet codecs for GPS protocols",,,,"New",
"4240","Task",,,,"Add systemd service unit for gpscentcom",,,"New",
"4241","Epic","Route Geometry & GeoJSON Integration",,,,,,"New",
"4242","Feature",,"Route Geometry API",,,,,"New",
"4243","User Story",,,"Create API endpoint to serve GeoJSON route geometry directly",,,,"New",
"4244","Task",,,,"Update dispatcher to use GeoJSON-based route endpoint",,,"New",
"4245","Task",,,,"Add regression test for route distance = 13.347 km ± 0.5 km (Route 1)",,,"New",
"4246","Feature",,"Engine & Vehicle Behavior",,,,,"New",
"4247","User Story",,,"Decide engine auto-stop strategy (recommend Simulator-level watcher)",,,,"New",
"4248","Task",,,,"Implement chosen auto-stop with event emission (vehicle:arrived-at-destination)",,,"New",
"4249","Epic","Telemetry Integration - Real-time Vehicle Data",,,,,,"New",
"4250","Feature",,"Telemetry Schema & Models",,,,,"New",
"4251","User Story",,,"Define telemetry JSON schema TypeScript interfaces and Pydantic models",,,,"New",
"4252","Feature",,"Telemetry Gateway",,,,,"New",
"4253","User Story",,,"Create Telemetry Gateway (FastAPI) with WebSocket broadcast + REST ingestion",,,,"New",
"4254","Task",,,,"Implement GPSCentCom connector (subscribe to gpscentcom_server feed normalize messages)",,,"New",
"4255","Task",,,,"Add Postgres/PostGIS schema for telemetry persistence",,,"New",
"4256","Task",,,,"Add broadcast subscription endpoint (/ws/telemetry or SSE /sse/telemetry)",,,"New",
"4257","Epic","Production-Grade Dashboard - Customer Portal",,,,,,"New",
"4258","Feature",,"UI/UX Enhancements",,,,,"New",
"4259","User Story",,,"Add responsive design for mobile-friendly layouts",,,,"New",
"4260","Task",,,,"Implement skeleton loaders and progress indicators",,,"New",
"4261","Task",,,,"Add ARIA labels and keyboard navigation for accessibility",,,"New",
"4262","Task",,,,"Re-run dashboard build and confirm StatusBadge enum completeness",,,"New",
"4263","Task",,,,"Add dashboard differentiation styling for UNHEALTHY vs FAILED",,,"New",
"4264","User Story",,,"Implement error handling with user-friendly error messages and recovery",,,,"New",
"4265","Feature",,"Dashboard Feature Expansion",,,,,"New",
"4266","User Story",,,"Fleet Monitor - Real-time vehicle tracking dashboard",,,,"New",
"4267","User Story",,,"Route Management - Route configuration and depot management",,,,"New",
"4268","User Story",,,"Analytics Dashboard - Performance metrics and reporting",,,,"New",
"4269","User Story",,,"System Health - Platform monitoring and diagnostics",,,,"New",
"4270","Feature",,"Advanced Dashboard Components",,,,,"New",
"4271","User Story",,,"Data Tables - Sortable and filterable tables for large datasets",,,,"New",
"4272","User Story",,,"Charts & Graphs - Performance visualization components",,,,"New",
"4273","User Story",,,"Maps Integration - Geospatial visualization for routes",,,,"New",
"4274","User Story",,,"Modal System - Reusable modal dialogs and forms",,,,"New",
"4275","Feature",,"Backend Integration",,,,,"New",
"4276","User Story",,,"GraphQL Provider - Strapi integration for data management",,,,"New",
"4277","User Story",,,"Authentication - User management and security",,,,"New",
"4278","User Story",,,"API Caching - Performance optimization for data fetching",,,,"New",
"4279","Feature",,"Real-time Vehicle Tracking",,,,"Guerilla Codester <guerillacodester@gmail.com>","Active",
"4280","User Story",,,"Map layer + UI components for realtime vehicles",,,,"New",
"4281","User Story",,,"Dashboard client provider/hook (WebSocket with reconnection and SSE fallback)",,,"Guerilla Codester <guerillacodester@gmail.com>","Active",
"4519","Task",,,,"Implement WebSocket connection logic with auto-reconnect",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4520","Task",,,,"Implement SSE (Server-Sent Events) fallback logic",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4521","Task",,,,"Create a React context/provider for telemetry data",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4522","Task",,,,"Develop a custom hook (useTelemetry) to consume provider data",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4523","Task",,,,"Add connection status indicator (connected/disconnected/reconnecting)",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4524","Task",,,,"Handle authentication/token refresh for socket/SSE",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4525","Task",,,,"Implement error handling and retry logic",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4526","Task",,,,"""Write unit tests for provider and hook",,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4527","Task",,,,"Document usage and integration steps",,"Guerilla Codester <guerillacodester@gmail.com>","New",
"4282","Feature",,"Customer Portal - Transit Interface",,,,,"New",
"4283","User Story",,,"Route Browser page (lists all routes with active vehicle count)",,,,"New",
"4284","User Story",,,"Route View (selectable route with map centered on user + live vehicle markers)",,,,"New",
"4285","User Story",,,"Trip Planner (given origin & destination returns sensible route)",,,,"New",
"4286","User Story",,,"Intercept Navigation (walking route to nearest stop with live ETA)",,,,"New",
"4368","Feature",,"Authenticated UI State",,,,,"New",
"4363","User Story",,,"Show/hide features based on authentication status",,,,"New",
"4364","Task",,,,"Implement protected routes in Next.js",,,"New",
"4365","Task",,,,"Display user info and error messages",,,"New",
"4366","Task",,,,"Handle token expiration and re-authentication",,,"New",
"4369","User Story",,,"Show/hide features based on authentication status",,,,"New",
"4370","Task",,,,"Implement protected routes in Next.js",,,"New",
"4371","Task",,,,"Display user info and error messages",,,"New",
"4372","Task",,,,"Handle token expiration and re-authentication",,,"New",
"4506","Feature",,"Feedback and Support",,,,,"New",
"4507","User Story",,,"Contact Form for Customer Feedback",,,,"New",
"4508","User Story",,,"Issue Reporting System",,,,"New",
"4509","Feature",,"Geofence-Based Alerts",,,,,"New",
"4510","User Story",,,"Alert on Enter/Exit Geofence Zones",,,,"New",
"4511","Feature",,"Subscription to Routes/Vehicles",,,,,"New",
"4512","User Story",,,"User Subscriptions for Route/Vehicle Notifications",,,,"New",
"4513","Feature",,"Payment/Ticketing Integration",,,,,"New",
"4514","User Story",,,"Integrate Payment Gateway for Ticket Purchase",,,,"New",
"4515","Feature",,"Customizable Dashboard",,,,,"New",
"4516","User Story",,,"User-Configurable Dashboard Widgets",,,,"New",
"4517","Feature",,"API Documentation for Customer Portal",,,,,"New",
"4518","User Story",,,"Document All Customer Portal Endpoints",,,,"New",
"4287","Epic","Production Readiness & Security",,,,,,"New",
"4288","Feature",,"Authentication & Authorization",,,,,"New",
"4289","User Story",,,"Enforce auth on REST and WebSocket endpoints (Authorization: Bearer token)",,,,"New",
"4290","User Story",,,"Security hardening (TLS guidance CORS tightening rate-limiting)",,,,"New",
"4291","User Story",,,"Secrets & config - promote secure secret management (env + Vault)",,,,"New",
"4292","Task",,,,"Implement validation for required settings",,,"New",
"4293","Feature",,"Logging Metrics & Monitoring",,,,,"New",
"4294","User Story",,,"Implement structured JSON logs",,,,"New",
"4295","User Story",,,"Add /metrics Prometheus endpoint",,,,"New",
"4296","User Story",,,"Extend /health with component-level checks",,,,"New",
"4297","Feature",,"Persistence & Webhook Integration",,,,,"New",
"4298","User Story",,,"Implement sink/plugin API (register/deregister webhooks)",,,,"New",
"4299","User Story",,,"Webhook sink prototype with retry and DLQ",,,,"New",
"4300","User Story",,,"Persistence plugin (optional Postgres/PostGIS)",,,,"New",
"4301","Feature",,"Operationalization",,,,,"New",
"4302","User Story",,,"Container image readiness/liveness probes",,,,"New",
"4303","User Story",,,"Deployment manifests (k8s/docker-compose)",,,,"New",
"4304","User Story",,,"Create runbook for operations",,,,"New",
"4305","Feature",,"Tests & CI",,,,,"New",
"4306","User Story",,,"Unit tests for parser/connector",,,,"New",
"4307","User Story",,,"Integration tests with mock gpscentcom server",,,,"New",
"4308","User Story",,,"CI that runs lint/build/tests",,,,"New",
"4309","Feature",,"Documentation & Onboarding",,,,,"New",
"4310","User Story",,,"Update CONTEXT.md with production readiness details",,,,"New",
"4311","User Story",,,"Update README with deployment and configuration instructions",,,,"New",
"4312","User Story",,,"Create runbook explaining how to enable sinks and configure auth",,,,"New",
"4375","Feature",,"Authentication & Security Testing",,,,,"New",
"4376","User Story",,,"Automated tests for login/logout and JWT validation",,,,"New",
"4377","Task",,,,"Write unit and integration tests for authentication flows",,,"New",
"4378","Task",,,,"Test API access with/without valid JWT",,,"New",
"4379","Task",,,,"Add security tests for privilege escalation and token tampering",,,"New",
"4382","Feature",,"Authentication & API Usage Documentation",,,,,"New",
"4383","User Story",,,"Document login/logout flows and JWT usage",,,,"New",
"4384","Task",,,,"Write developer guide for authentication integration",,,"New",
"4385","Task",,,,"Add troubleshooting section for common auth errors",,,"New",
"4337","Epic","User Authentication & Session Management",,,,,,"New",
"4338","Feature",,"Login/Logout Mechanism",,,,,"New",
"4339","User Story",,,"Implement secure login page in Next.js app",,,,"New",
"4340","Task",,,,"Integrate with Strapi /auth/local endpoint",,,"New",
"4341","Task",,,,"Store JWT securely and attach to API requests",,,"New",
"4342","Task",,,,"Implement logout and token invalidation",,,"New",
"4343","User Story",,,"Enforce JWT authentication for all user-specific APIs",,,,"New",
"4344","Task",,,,"Update Strapi permissions for all relevant endpoints",,,"New",
"4345","Task",,,,"Validate user context in backend services",,,"New",
"4346","Task",,,,"Audit and restrict public endpoints",,,"New",
"4386","Epic","Arknet Transit Query",,,,,"Guerilla Codester <guerillacodester@gmail.com>","Active",
"4387","Feature",,"Role-Based Access Control",,,,"Guerilla Codester <guerillacodester@gmail.com>","Active",
"4357","User Story",,,"Define roles and permissions for all user types",,,,"New",
"4358","Task",,,,"Configure Strapi roles and permissions",,,"New",
"4359","Task",,,,"Test access restrictions for each role",,,"New",
"4360","Task",,,,"Document role matrix and escalation procedures",,,"New",
"4388","User Story",,,"Design AccessTier & UserProfile content types",,,"Guerilla Codester <guerillacodester@gmail.com>","Resolved",
"4389","Task",,,,"Create AccessTier schema and seed entries",,,"Closed",
"4390","Task",,,,"Create UserProfile schema and migration script",,,"Closed",
"4391","Task",,,,"Document tier assignment workflow",,,"New",
"4392","User Story",,,"Implement tier-based policies",,,,"New",
"4393","Task",,,,"Write is-tier.js policy",,,"New",
"4394","Task",,,,"Attach policies to sensitive endpoints",,,"New",
"4395","Task",,,,"Add JWT claim for tier",,,"New",
"4396","User Story",,,"Update front-end dashboards for tiered UI",,,,"New",
"4397","Task",,,,"Add tier-aware dashboard components",,,"New",
"4398","Task",,,,"Hide/disable features by tier",,,"New",
"4399","User Story",,,"Test and audit RBAC flows",,,,"New",
"4400","Task",,,,"Integration tests for each tier",,,"New",
"4401","Task",,,,"Audit logging for role changes",,,"New",
"4416","User Story",,,"Add policies and JWT claim for RBAC enforcement",,,"Guerilla Codester <guerillacodester@gmail.com>","Active",
"4417","Task",,,,"Create Strapi policy to check AccessTier",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4418","Task",,,,"Extend JWT payload to include AccessTier",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4419","Task",,,,"Test policy enforcement for all tiers",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4420","Task",,,,"Document RBAC policy and JWT changes",,,"Closed",
"4421","Task",,,,"Update API error handling for RBAC",,,"Closed",
"4422","Task",,,,"Manually configure Strapi RBAC policies for all API endpoints",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4423","Task",,,,"Clean up duplicate RBAC policy file",,"Guerilla Codester <guerillacodester@gmail.com>","Closed",
"4453","Bug",,,,"Vehicle simulator fails with HTTP 403 errors on multiple Strapi endpoints",,"Guerilla Codester <guerillacodester@gmail.com>","New","authentication; simulator; strapi"
"4454","Task",,,,,"Implement centralized Strapi authentication client for vehicle simulator","Guerilla Codester <guerillacodester@gmail.com>","New","authentication; refactoring"
"4455","Task",,,,,"Add integration tests for centralized Strapi client","Guerilla Codester <guerillacodester@gmail.com>","New","testing"
"4456","Task",,,,,"Document centralized Strapi client architecture and usage","Guerilla Codester <guerillacodester@gmail.com>","New","documentation"
"4402","Feature",,"API Access Migration",,,,,"New",
"4403","User Story",,,"Audit current Strapi APIs for access level",,,,"New",
"4404","Task",,,,"Review all content types and routes",,,"New",
"4405","Task",,,,"Document required access for each API",,,"New",
"4406","User Story",,,"Update API route configs",,,,"New",
"4407","Task",,,,"Remove config.auth: false from public endpoints",,,"New",
"4408","Task",,,,"Set config.auth: true for sensitive endpoints",,,"New",
"4409","Task",,,,"Revoke Public role permissions in Strapi",,,"New",
"4410","User Story",,,"Update Strapi roles and permissions",,,,"New",
"4411","Task",,,,"Create/modify Authenticated roles",,,"New",
"4412","Task",,,,"Assign users to correct tiers",,,"New",
"4413","User Story",,,"Regression testing and validation",,,,"New",
"4414","Task",,,,"Test API access for each tier",,,"New",
"4415","Task",,,,"Validate front-end and back-end integration",,,"New",
"4424","Epic","Arknet Transit System Installer",,,,,,"New",
"4425","Feature",,"Windows Installer Automation",,,,,"New",
"4426","Feature",,"Linux Installer Automation",,,,,"New",
"4427","Feature",,"Next.js Dashboard Deployment",,,,,"New",
"4428","Feature",,"Redis Service Setup",,,,,"New",
"4429","User Story",,,"Windows: Install Python",,,,"New",
"4430","User Story",,,"Windows: Install Node.js",,,,"New",
"4431","User Story",,,"Windows: Install Redis",,,,"New",
"4432","User Story",,,"Windows: Install Launcher",,,,"New",
"4433","User Story",,,"Linux: Install Python",,,,"New",
"4434","User Story",,,"Linux: Install Node.js",,,,"New",
"4435","User Story",,,"Linux: Install Redis",,,,"New",
"4436","User Story",,,"Linux: Install Launcher",,,,"New",
"4437","User Story",,,"Deploy Next.js Dashboard",,,,"New",
"4438","User Story",,,"Configure Redis Health Check",,,,"New",
"4439","Task",,,,"Script: Python Install (Win)",,,"New",
"4440","Task",,,,"Script: Node.js Install (Win)",,,"New",
"4441","Task",,,,"Script: Redis Install (Win)",,,"New",
"4442","Task",,,,"Script: Launcher Install (Win)",,,"New",
"4443","Task",,,,"Script: Python Install (Linux)",,,"New",
"4444","Task",,,,"Script: Node.js Install (Linux)",,,"New",
"4445","Task",,,,"Script: Redis Install (Linux)",,,"New",
"4446","Task",,,,"Script: Launcher Install (Linux)",,,"New",
"4447","Task",,,,"Build Next.js",,,"New",
"4448","Task",,,,"Deploy Next.js",,,"New",
"4449","Task",,,,"Integrate Redis Health",,,"New",
"4450","Task",,,,"Test Redis Health",,,"New",
"4528","Epic","Strapi Backend - Access Tier Integration",,,,,,"New",
"4714","Feature",,"Telemetry Filtering API",,,,,"New",
"4715","User Story",,,"Create access tier API endpoint",,,,"New",
"4716","Task",,,,"Make Access Tier publicly readable",,,"New",
"4717","Feature",,"Frontend Integration",,,,,"New",
"4718","User Story",,,"Document frontend privilege fetching",,,,"New",
"4719","User Story",,,"Create React privilege hooks",,,,"New",
"4529","Epic","Strapi Backend - Authentication & Authorization",,,,,,"New",
"4530","Feature",,"User Authentication",,,,,"New",
"4531","User Story",,,"Implement JWT-based authentication",,,,"New",
"4532","Task",,,,"Create custom auth controller",,,"New",
"4533","Feature",,"Access Tier System",,,,,"New",
"4534","User Story",,,"Create Access Tier content type",,,,"New",
"4535","Task",,,,"Create User Profile content type",,,"New",
"4536","Feature",,"RBAC Policy",,,,,"New",
"4537","User Story",,,"Implement check-access-tier policy",,,,"New",
"4538","Task",,,,"Auto-configure permissions on startup",,,"New",
"4539","Bug",,,,"🔴 CRITICAL - RBAC policy performance bottleneck",,,"New","Blocker; Critical; Performance"
"4540","Task",,,,"Implement Redis caching for RBAC lookups",,,"New","Critical; Performance"
"4541","Feature",,"GraphQL User Extensions",,,,,"New",
"4542","User Story",,,"Extend GraphQL UsersPermissionsUser with tier",,,,"New",
"4543","Epic","Strapi Backend - Content Types",,,,,,"New",
"4544","Feature",,"Transit Data Model",,,,,"New",
"4545","User Story",,,"Create core transit content types",,,,"New",
"4546","Task",,,,"Create Route content type",,,"New",
"4547","Task",,,,"Create Stop content type",,,"New",
"4548","Task",,,,"Create Trip content type",,,"New",
"4549","Task",,,,"Create Stop Time content type",,,"New",
"4550","Task",,,,"Create Service content type",,,"New",
"4551","Task",,,,"Create Calendar Date content type",,,"New",
"4552","User Story",,,"Create route geometry content types",,,,"New",
"4553","Task",,,,"Create Shape content type",,,"New",
"4554","Task",,,,"Create Route Shape junction table",,,"New",
"4555","Feature",,"Fleet Management",,,,,"New",
"4556","User Story",,,"Create fleet registry content types",,,,"New",
"4557","Task",,,,"Create Vehicle content type",,,"New",
"4558","Task",,,,"Create Driver content type",,,"New",
"4559","Task",,,,"Create GPS Device content type",,,"New",
"4560","Task",,,,"Create Depot content type",,,"New",
"4561","User Story",,,"Create vehicle tracking content types",,,,"New",
"4562","Task",,,,"Create Vehicle Status content type",,,"New",
"4563","Task",,,,"Create Vehicle Event content type",,,"New",
"4564","Feature",,"Geospatial Features",,,,,"New",
"4565","User Story",,,"Create map feature content types",,,,"New",
"4566","Task",,,,"Create Building content type",,,"New",
"4567","Task",,,,"Create Highway content type",,,"New",
"4568","Task",,,,"Create Highway Shape content type",,,"New",
"4569","Task",,,,"Create Place content type",,,"New",
